Nodes,Groups,Reduction
16,5,5.00
8,2,-50.00
4,2,0
16,2,-33.33
24,2,21.42
4,2,0
12,4,54.54
16,4,-29.16
300,18,22.97
4,2,0
24,9,40.62
4,2,0
64,6,15.09
4,2,0
9,4,15.78
40,3,-.58
4,2,0
20,2,0
8,3,14.28
8,3,-12.50
4,3,0
8,2,0
9,4,16.00
20,5,25.00
128,6,16.88
24,5,13.88
24,4,43.24
4,2,0
16,2,0
4,3,0
4,2,0
8,2,0
300,19,15.90
4,2,0
256,7,12.45
8,3,14.28
4,2,0
300,21,23.46
24,9,42.85
129,20,17.83
4,3,0
24,8,53.52
129,20,17.83
16,3,-27.27
4,2,0
8,3,14.28
4,3,0
8,7,0
8,2,-50.00
36,11,16.98
129,7,13.77
129,13,23.55
4,3,0
129,13,20.36
129,16,17.77
8,5,10.00
300,19,20.94
8,2,0
129,18,19.51
24,14,16.00
16,8,7.89
129,15,18.75
129,16,19.42
4,3,0
129,8,26.25
129,10,24.01
84,4,-12.59
4,3,0
129,17,19.75
4,3,0
4,2,0
24,8,45.00
8,5,0
4,2,0
129,16,15.15
129,13,20.56
4,2,0
4,2,0
32,2,-187.50
129,9,28.49
16,2,0
129,10,20.39
4,2,0
16,2,0
32,2,-83.33
129,16,14.22
24,5,33.33
24,13,14.49
24,13,-9.48
16,2,0
129,11,23.87
129,16,20.26
16,2,0
4,2,0
129,9,26.27
129,17,16.92
129,13,17.91
4,2,0
129,12,24.42
129,14,10.20
4,2,0
24,2,-22.22
129,10,23.01
4,2,0
129,8,21.95
129,14,16.25
4,2,0
129,20,15.90
129,12,21.92
129,14,18.90
4,2,0
4,2,0
129,11,19.06
4,2,0
6,2,33.33
129,16,19.24
4,3,0
24,4,45.31
6,2,33.33
129,8,22.51
8,2,0
129,15,17.87
6,2,33.33
129,13,11.58
129,15,15.53
16,7,21.73
24,10,28.57
129,11,16.50
100,21,17.67
24,10,39.39
24,3,29.41
129,11,14.07
205,7,25.70
4,3,0
4,2,0
129,22,11.38
24,6,1.61
64,3,-39.16
129,8,18.61
16,2,0
129,14,21.46
284,7,23.44
129,11,21.28
16,3,8.82
4,3,0
129,14,18.60
8,3,-12.50
8,3,-10.00
8,6,0
8,8,0
8,4,0
64,3,-1.68
4,3,0
128,14,18.93
8,4,6.25
8,5,0
20,3,-21.66
512,7,19.35
5,2,0
129,9,21.73
4,2,0
276,6,15.38
16,3,8.10
266,6,23.26
4,3,0
8,4,12.50
8,2,0
12,5,35.48
8,2,0
12,5,41.93
32,2,0
16,3,13.15
8,2,0
4,2,0
8,2,0
4,2,0
8,2,0
64,9,20.66
20,3,-2.94
8,2,0
16,3,15.90
4,2,0
8,2,-50.00
129,4,2.39
129,6,5.62
129,8,12.81
129,14,17.69
129,16,16.81
129,18,16.19
16,5,8.62
16,6,6.66
8,2,-50.00
4,4,0
4,2,0
64,12,15.28
16,2,0
4,2,0
4,2,0
4,2,0
20,2,40.00
4,2,0
4,2,0
4,2,0
4,3,0
4,2,0
4,3,16.66
4,2,0
4,3,0
4,3,0
4,4,0
4,2,0
4,2,0
4,2,0
4,3,16.66
4,3,16.66
4,2,0
4,2,0
4,2,0
64,5,12.42
12,2,25.00
12,2,25.00
12,2,-16.66
12,2,-64.28
4,2,0
16,2,-9.52
16,2,0
20,2,40.00
16,2,0
16,8,2.94
4,2,0
24,11,-28.57
32,5,15.00
4,2,0
20,2,40.00
4,2,0
284,7,11.93
512,7,28.11
4,2,0
144,8,34.50
36,3,10.71
64,8,18.97
160,16,4.55
32,5,-10.86
8,2,-50.00
8,3,15.38
256,9,20.60
4,2,0
4,2,0
266,7,12.77
32,7,6.25
32,8,4.44
24,7,28.88
16,2,-125.00
